unified_id,original_id,product_name,sentiment,opinion,score,date,source_file
1,OP0001,Headphones,positive,"Fantastic product, highly recommend.",,11.01.2025,opinions_MP.csv
2,OP0002,Monitor,positive,Works perfectly so far.,,30.03.2025,opinions_MP.csv
3,OP0003,Smartphone,positive,Very satisfied with my purchase.,,18.07.2025,opinions_MP.csv
4,OP0004,Smartphone,positive,Excellent value for the price.,,01.02.2025,opinions_MP.csv
5,OP0005,Backpack,positive,Would buy again.,,17.09.2025,opinions_MP.csv
6,OP0006,Monitor,positive,Amazing experience overall.,,22.11.2025,opinions_MP.csv
7,OP0007,Laptop,positive,"Fantastic product, highly recommend.",,03.12.2024,opinions_MP.csv
8,OP0008,Headphones,positive,Very satisfied with my purchase.,,19.09.2025,opinions_MP.csv
9,OP0009,Headphones,positive,Would buy again.,,09.01.2025,opinions_MP.csv
10,OP0010,Coffee Maker,positive,Works perfectly so far.,,01.04.2025,opinions_MP.csv
11,OP0011,Backpack,positive,"Fantastic product, highly recommend.",,30.09.2025,opinions_MP.csv
12,OP0012,Coffee Maker,positive,Would buy again.,,27.06.2025,opinions_MP.csv
13,OP0013,Laptop,positive,Amazing experience overall.,,03.04.2025,opinions_MP.csv
14,OP0014,Smartwatch,positive,"Fantastic product, highly recommend.",,02.11.2025,opinions_MP.csv
15,OP0015,Backpack,positive,Excellent value for the price.,,02.01.2025,opinions_MP.csv
16,OP0016,Keyboard,positive,Works perfectly so far.,,14.04.2025,opinions_MP.csv
17,OP0017,Smartwatch,positive,Very satisfied with my purchase.,,18.11.2025,opinions_MP.csv
18,OP0018,Coffee Maker,positive,Very satisfied with my purchase.,,03.12.2024,opinions_MP.csv
19,OP0019,Smartwatch,positive,Amazing experience overall.,,11.09.2025,opinions_MP.csv
20,OP0020,Headphones,positive,Great quality and performance.,,28.01.2025,opinions_MP.csv
21,OP0021,Smartphone,positive,Impressive build quality.,,05.02.2025,opinions_MP.csv
22,OP0022,Backpack,positive,Works perfectly so far.,,02.11.2025,opinions_MP.csv
23,OP0023,Coffee Maker,positive,Exceeded my expectations.,,17.07.2025,opinions_MP.csv
24,OP0024,Smartwatch,positive,Amazing experience overall.,,25.03.2025,opinions_MP.csv
25,OP0025,Laptop,positive,Superb product with great features.,,10.07.2025,opinions_MP.csv
26,OP0026,Monitor,positive,Superb product with great features.,,27.07.2025,opinions_MP.csv
27,OP0027,Keyboard,positive,Would buy again.,,25.06.2025,opinions_MP.csv
28,OP0028,Backpack,positive,Very satisfied with my purchase.,,12.11.2025,opinions_MP.csv
29,OP0029,Headphones,positive,Superb product with great features.,,28.10.2025,opinions_MP.csv
30,OP0030,Headphones,positive,Very satisfied with my purchase.,,13.07.2025,opinions_MP.csv
31,OP0031,Smartphone,positive,Amazing experience overall.,,06.11.2025,opinions_MP.csv
32,OP0032,Coffee Maker,positive,Exceeded my expectations.,,26.11.2025,opinions_MP.csv
33,OP0033,Headphones,positive,Excellent value for the price.,,17.07.2025,opinions_MP.csv
34,OP0034,Smartwatch,positive,Excellent value for the price.,,25.10.2025,opinions_MP.csv
35,OP0035,Smartwatch,positive,Excellent value for the price.,,30.07.2025,opinions_MP.csv
36,OP0036,Smartwatch,positive,Works perfectly so far.,,23.05.2025,opinions_MP.csv
37,OP0037,Backpack,positive,Amazing experience overall.,,10.07.2025,opinions_MP.csv
38,OP0038,Keyboard,positive,Very satisfied with my purchase.,,28.01.2025,opinions_MP.csv
39,OP0039,Headphones,positive,Impressive build quality.,,05.05.2025,opinions_MP.csv
40,OP0040,Keyboard,positive,Impressive build quality.,,22.01.2025,opinions_MP.csv
41,OP0041,Headphones,positive,Would buy again.,,23.06.2025,opinions_MP.csv
42,OP0042,Headphones,positive,Great quality and performance.,,03.09.2025,opinions_MP.csv
43,OP0043,Coffee Maker,positive,Very satisfied with my purchase.,,27.11.2024,opinions_MP.csv
44,OP0044,Coffee Maker,positive,Great quality and performance.,,04.04.2025,opinions_MP.csv
45,OP0045,Coffee Maker,positive,Would buy again.,,07.12.2024,opinions_MP.csv
46,OP0046,Smartphone,positive,Amazing experience overall.,,22.08.2025,opinions_MP.csv
47,OP0047,Headphones,positive,Excellent value for the price.,,08.02.2025,opinions_MP.csv
48,OP0048,Coffee Maker,positive,Works perfectly so far.,,22.06.2025,opinions_MP.csv
49,OP0049,Headphones,positive,Excellent value for the price.,,29.09.2025,opinions_MP.csv
50,OP0050,Laptop,positive,Impressive build quality.,,13.11.2025,opinions_MP.csv
51,OP0051,Smartphone,positive,Excellent value for the price.,,19.09.2025,opinions_MP.csv
52,OP0052,Headphones,positive,Exceeded my expectations.,,03.12.2024,opinions_MP.csv
53,OP0053,Backpack,positive,Superb product with great features.,,03.11.2025,opinions_MP.csv
54,OP0054,Headphones,positive,"Fantastic product, highly recommend.",,10.12.2024,opinions_MP.csv
55,OP0055,Backpack,positive,Excellent value for the price.,,05.04.2025,opinions_MP.csv
56,OP0056,Coffee Maker,positive,Very satisfied with my purchase.,,08.07.2025,opinions_MP.csv
57,OP0057,Keyboard,positive,Exceeded my expectations.,,15.09.2025,opinions_MP.csv
58,OP0058,Coffee Maker,positive,Great quality and performance.,,09.11.2025,opinions_MP.csv
59,OP0059,Smartwatch,positive,Very satisfied with my purchase.,,03.08.2025,opinions_MP.csv
60,OP0060,Smartphone,positive,Excellent value for the price.,,12.10.2025,opinions_MP.csv
61,OP0061,Headphones,positive,Works perfectly so far.,,02.09.2025,opinions_MP.csv
62,OP0062,Monitor,positive,Amazing experience overall.,,03.08.2025,opinions_MP.csv
63,OP0063,Smartphone,positive,Great quality and performance.,,25.07.2025,opinions_MP.csv
64,OP0064,Coffee Maker,positive,Impressive build quality.,,15.11.2025,opinions_MP.csv
65,OP0065,Headphones,positive,Very satisfied with my purchase.,,24.05.2025,opinions_MP.csv
66,OP0066,Keyboard,positive,Great quality and performance.,,23.11.2025,opinions_MP.csv
67,OP0067,Backpack,positive,Impressive build quality.,,22.04.2025,opinions_MP.csv
68,OP0068,Monitor,positive,Very satisfied with my purchase.,,09.03.2025,opinions_MP.csv
69,OP0069,Monitor,positive,Works perfectly so far.,,13.10.2025,opinions_MP.csv
70,OP0070,Monitor,positive,Works perfectly so far.,,11.06.2025,opinions_MP.csv
71,OP0071,Coffee Maker,positive,Great quality and performance.,,21.05.2025,opinions_MP.csv
72,OP0072,Smartwatch,positive,Superb product with great features.,,06.06.2025,opinions_MP.csv
73,OP0073,Smartphone,positive,Works perfectly so far.,,09.09.2025,opinions_MP.csv
74,OP0074,Laptop,positive,Impressive build quality.,,13.08.2025,opinions_MP.csv
75,OP0075,Backpack,positive,Great quality and performance.,,13.07.2025,opinions_MP.csv
76,OP0076,Laptop,positive,Excellent value for the price.,,20.02.2025,opinions_MP.csv
77,OP0077,Laptop,positive,Impressive build quality.,,09.03.2025,opinions_MP.csv
78,OP0078,Backpack,positive,Great quality and performance.,,14.07.2025,opinions_MP.csv
79,OP0079,Smartphone,positive,Exceeded my expectations.,,10.10.2025,opinions_MP.csv
80,OP0080,Monitor,positive,Amazing experience overall.,,29.01.2025,opinions_MP.csv
81,OP0081,Coffee Maker,positive,Exceeded my expectations.,,31.08.2025,opinions_MP.csv
82,OP0082,Keyboard,positive,Superb product with great features.,,17.10.2025,opinions_MP.csv
83,OP0083,Monitor,positive,Exceeded my expectations.,,07.01.2025,opinions_MP.csv
84,OP0084,Monitor,positive,Very satisfied with my purchase.,,23.10.2025,opinions_MP.csv
85,OP0085,Headphones,positive,Works perfectly so far.,,03.06.2025,opinions_MP.csv
86,OP0086,Laptop,positive,Amazing experience overall.,,31.03.2025,opinions_MP.csv
87,OP0087,Headphones,positive,Exceeded my expectations.,,22.06.2025,opinions_MP.csv
88,OP0088,Smartwatch,positive,Great quality and performance.,,30.05.2025,opinions_MP.csv
89,OP0089,Keyboard,positive,Amazing experience overall.,,18.12.2024,opinions_MP.csv
90,OP0090,Coffee Maker,positive,Impressive build quality.,,27.09.2025,opinions_MP.csv
91,OP0091,Headphones,positive,Exceeded my expectations.,,03.06.2025,opinions_MP.csv
92,OP0092,Laptop,positive,Would buy again.,,30.03.2025,opinions_MP.csv
93,OP0093,Smartphone,positive,Superb product with great features.,,04.09.2025,opinions_MP.csv
94,OP0094,Coffee Maker,positive,Amazing experience overall.,,15.12.2024,opinions_MP.csv
95,OP0095,Laptop,positive,Impressive build quality.,,01.05.2025,opinions_MP.csv
96,OP0096,Smartwatch,positive,Excellent value for the price.,,17.05.2025,opinions_MP.csv
97,OP0097,Monitor,positive,"Fantastic product, highly recommend.",,25.08.2025,opinions_MP.csv
98,OP0098,Keyboard,positive,Excellent value for the price.,,19.05.2025,opinions_MP.csv
99,OP0099,Headphones,positive,Would buy again.,,21.08.2025,opinions_MP.csv
100,OP0100,Keyboard,positive,Very satisfied with my purchase.,,10.10.2025,opinions_MP.csv
101,OP0101,Laptop,negative,Stopped working after a week.,,28.10.2025,opinions_MP.csv
102,OP0102,Headphones,negative,Not worth the price.,,26.07.2025,opinions_MP.csv
103,OP0103,Keyboard,negative,Broke shortly after purchase.,,10.08.2025,opinions_MP.csv
104,OP0104,Keyboard,negative,Unreliable performance.,,09.12.2024,opinions_MP.csv
105,OP0105,Monitor,negative,Poor build quality.,,12.09.2025,opinions_MP.csv
106,OP0106,Smartphone,negative,Very disappointing experience.,,07.12.2024,opinions_MP.csv
107,OP0107,Smartwatch,negative,Stopped working after a week.,,05.10.2025,opinions_MP.csv
108,OP0108,Backpack,negative,Not worth the price.,,08.12.2024,opinions_MP.csv
109,OP0109,Smartphone,negative,Very disappointing experience.,,11.09.2025,opinions_MP.csv
110,OP0110,Monitor,negative,Unreliable performance.,,23.06.2025,opinions_MP.csv
111,OP0111,Smartphone,negative,Would not recommend.,,08.11.2025,opinions_MP.csv
112,OP0112,Headphones,negative,Stopped working after a week.,,29.01.2025,opinions_MP.csv
113,OP0113,Smartwatch,negative,Did not meet expectations.,,21.06.2025,opinions_MP.csv
114,OP0114,Smartwatch,negative,Very disappointing experience.,,20.09.2025,opinions_MP.csv
115,OP0115,Keyboard,negative,Not worth the price.,,24.08.2025,opinions_MP.csv
116,OP0116,Backpack,negative,Low quality materials.,,19.01.2025,opinions_MP.csv
117,OP0117,Backpack,negative,Low quality materials.,,03.06.2025,opinions_MP.csv
118,OP0118,Monitor,negative,Terrible value for the money.,,18.07.2025,opinions_MP.csv
119,OP0119,Keyboard,negative,Very disappointing experience.,,13.07.2025,opinions_MP.csv
120,OP0120,Keyboard,negative,Unreliable performance.,,26.10.2025,opinions_MP.csv
121,OP0121,Backpack,negative,Stopped working after a week.,,21.11.2025,opinions_MP.csv
122,OP0122,Monitor,negative,Terrible value for the money.,,26.06.2025,opinions_MP.csv
123,OP0123,Coffee Maker,negative,Stopped working after a week.,,08.04.2025,opinions_MP.csv
124,OP0124,Monitor,negative,Poor build quality.,,24.10.2025,opinions_MP.csv
125,OP0125,Smartphone,negative,Low quality materials.,,27.05.2025,opinions_MP.csv
126,OP0126,Monitor,negative,Poor build quality.,,08.04.2025,opinions_MP.csv
127,OP0127,Headphones,negative,Unreliable performance.,,11.02.2025,opinions_MP.csv
128,OP0128,Coffee Maker,negative,Did not meet expectations.,,05.11.2025,opinions_MP.csv
129,OP0129,Coffee Maker,negative,Not worth the price.,,24.07.2025,opinions_MP.csv
130,OP0130,Laptop,negative,Broke shortly after purchase.,,01.03.2025,opinions_MP.csv
131,OP0131,Headphones,negative,Terrible value for the money.,,03.02.2025,opinions_MP.csv
132,OP0132,Monitor,negative,Terrible value for the money.,,22.10.2025,opinions_MP.csv
133,OP0133,Backpack,negative,Not worth the price.,,07.04.2025,opinions_MP.csv
134,OP0134,Monitor,negative,Poor build quality.,,08.11.2025,opinions_MP.csv
135,OP0135,Keyboard,negative,Terrible value for the money.,,16.07.2025,opinions_MP.csv
136,OP0136,Monitor,negative,Did not meet expectations.,,09.04.2025,opinions_MP.csv
137,OP0137,Smartwatch,negative,Would not recommend.,,30.06.2025,opinions_MP.csv
138,OP0138,Backpack,negative,Not worth the price.,,17.11.2025,opinions_MP.csv
139,OP0139,Backpack,negative,Low quality materials.,,30.04.2025,opinions_MP.csv
140,OP0140,Coffee Maker,negative,Terrible value for the money.,,23.09.2025,opinions_MP.csv
141,OP0141,Backpack,negative,Stopped working after a week.,,17.10.2025,opinions_MP.csv
142,OP0142,Coffee Maker,negative,Unreliable performance.,,16.06.2025,opinions_MP.csv
143,OP0143,Monitor,negative,Very disappointing experience.,,22.09.2025,opinions_MP.csv
144,OP0144,Headphones,negative,Not worth the price.,,18.02.2025,opinions_MP.csv
145,OP0145,Backpack,negative,Terrible value for the money.,,03.02.2025,opinions_MP.csv
146,OP0146,Keyboard,negative,Terrible value for the money.,,10.05.2025,opinions_MP.csv
147,OP0147,Smartwatch,negative,Not worth the price.,,06.07.2025,opinions_MP.csv
148,OP0148,Keyboard,negative,Not worth the price.,,13.05.2025,opinions_MP.csv
149,OP0149,Laptop,negative,Not worth the price.,,14.05.2025,opinions_MP.csv
150,OP0150,Laptop,negative,Low quality materials.,,25.09.2025,opinions_MP.csv
151,OP0151,Monitor,negative,Low quality materials.,,17.09.2025,opinions_MP.csv
152,OP0152,Smartwatch,negative,Poor build quality.,,16.05.2025,opinions_MP.csv
153,OP0153,Smartwatch,negative,Unreliable performance.,,13.01.2025,opinions_MP.csv
154,OP0154,Headphones,negative,Did not meet expectations.,,11.01.2025,opinions_MP.csv
155,OP0155,Coffee Maker,negative,Low quality materials.,,07.10.2025,opinions_MP.csv
156,OP0156,Laptop,negative,Low quality materials.,,08.06.2025,opinions_MP.csv
157,OP0157,Keyboard,negative,Low quality materials.,,10.11.2025,opinions_MP.csv
158,OP0158,Smartphone,negative,Did not meet expectations.,,13.08.2025,opinions_MP.csv
159,OP0159,Headphones,negative,Very disappointing experience.,,04.09.2025,opinions_MP.csv
160,OP0160,Headphones,negative,Poor build quality.,,26.12.2024,opinions_MP.csv
161,OP0161,Backpack,negative,Very disappointing experience.,,22.12.2024,opinions_MP.csv
162,OP0162,Backpack,negative,Poor build quality.,,12.07.2025,opinions_MP.csv
163,OP0163,Backpack,negative,Would not recommend.,,09.11.2025,opinions_MP.csv
164,OP0164,Smartwatch,negative,Unreliable performance.,,17.03.2025,opinions_MP.csv
165,OP0165,Backpack,negative,Poor build quality.,,27.05.2025,opinions_MP.csv
166,OP0166,Backpack,negative,Low quality materials.,,07.10.2025,opinions_MP.csv
167,OP0167,Coffee Maker,negative,Very disappointing experience.,,22.02.2025,opinions_MP.csv
168,OP0168,Backpack,negative,Low quality materials.,,24.06.2025,opinions_MP.csv
169,OP0169,Smartwatch,negative,Low quality materials.,,24.05.2025,opinions_MP.csv
170,OP0170,Laptop,negative,Stopped working after a week.,,13.09.2025,opinions_MP.csv
171,OP0171,Headphones,negative,Terrible value for the money.,,11.06.2025,opinions_MP.csv
172,OP0172,Smartwatch,negative,Poor build quality.,,29.09.2025,opinions_MP.csv
